t_wall_ns,what,threat_level,impulse,episode
1785523744129144500,environment,1,0.04947894811630249,2
1785523744129144500,environment,1,0.04936608672142029,2
1785523744141947700,environment,1,0.04977436736226082,2
1785523744141947700,environment,1,0.04934994503855705,2
1785523744162829500,environment,1,0.049864158034324646,2
1785523744162829500,environment,1,0.050194285809993744,2
1785523744162829500,environment,1,0.05024946108460426,2
1785523744176050700,environment,1,0.0496431328356266,2
1785523744176050700,environment,1,0.051210422068834305,2
1785523744195308300,environment,1,0.05037128925323486,2
1785523744195308300,environment,1,0.050047874450683594,2
1785523744195308300,environment,1,0.05055677145719528,2
1785523744209477300,environment,1,0.05233113095164299,2
1785523744209477300,environment,1,0.05286215990781784,2
1785523744228804600,environment,1,0.05130701884627342,2
1785523744228804600,environment,1,0.051958996802568436,2
1785523744228804600,environment,1,0.05182713270187378,2
1785523744242685900,environment,1,0.053383395075798035,2
1785523744242685900,environment,1,0.05399710685014725,2
