t_wall_ns,armed,heading_rad,roll_rate,pitch_rate,yaw_rate,thrust
1785523704686421400,1,0.0006,-0.0,-0.0,0.0,0.3218576221091341
1785523704706407500,1,0.0006,-0.0,-0.0,0.0,0.3193568265905462
1785523704726178100,1,0.0006,-0.0,-0.0,0.0,0.3192282103296501
1785523704746821200,1,0.0006,-0.0,-0.0,0.0,0.3192282103296501
1785523704767183200,1,0.0006,-0.0,-0.0,0.0,0.3192282103296501
1785523704786869700,1,0.0006,-0.0,-0.0,0.0,0.3192282103296501
1785523704806237100,1,0.0006,-0.0,-0.0,0.0,0.3192282103296501
1785523704826778400,1,0.0006,-0.0,-0.0,0.0,0.3192282103296501
1785523704846628500,1,0.0006,-0.0,-0.0,0.0,0.3192282103296501
1785523704866548500,1,0.0006,-0.0,-0.0,0.0,0.3192282103296501
1785523704886588700,1,0.0006,-0.0,-0.0,0.0,0.3192282103296501
1785523704907219600,1,0.0006,-0.0,-0.0,0.0,0.3192282103296501
1785523704926945800,1,0.0006,-0.0,-0.0,0.0,0.3192282103296501
1785523704946727000,1,0.0006,-0.0,-0.0,0.0,0.3192282103296501
1785523704966899000,1,0.0006,-0.0,-0.0,0.0,0.3192282103296501
1785523704987172300,1,0.0006,-0.0,-0.0,0.0,0.3192282103296501
1785523705007249200,1,0.0006,-0.0,-0.0,0.0,0.3192282103296501
1785523705026201200,1,0.0006,-0.0,-0.0,0.0,0.3192282103296501
1785523705046820200,1,0.0006,-0.0,-0.0,0.0,0.3192282103296501
1785523705066380300,1,0.0006,-0.0,-0.0,0.0,0.3192282103296501
1785523705087049000,1,0.0006,-0.0,-0.0,0.0,0.3192282103296501
1785523705106971200,1,0.0006,-0.0,-0.0,0.0,0.3192282103296501
1785523705126186900,1,0.0006,-0.0,-0.0,0.0,0.3192282103296501
1785523705146228600,1,0.0006,-0.0,-0.0,0.0,0.3192282103296501
1785523705166945200,1,0.0006,-0.0,-0.0,0.0,0.316779364292182
1785523705186716200,1,0.0006,-0.0,-0.0,0.0,0.3120434884338179
1785523705207211500,1,0.0006,-0.0,-0.0,0.0,0.30483899123301006
1785523705226888700,1,0.0006,-0.0,-0.0,0.0,0.2951467149955569
1785523705246994300,1,0.0006,-0.0,-0.0,0.0,0.2879008544001837
1785523705266370800,1,0.0006,-0.0,-0.0,0.0,0.28311527015527227
1785523705286833700,1,0.0006,-0.0,-0.0,0.0,0.28069824958224626
1785523705307079700,1,0.0006,-0.0,-0.0,0.0,0.2806722568662301
1785523705326974000,1,0.0006,-0.0,-0.0,0.0,0.2806722568662301
1785523705346474100,1,0.0006,-0.0,-0.0,0.0,0.2806722568662301
1785523705366972900,1,0.0006,-0.0,-0.0,0.0,0.2806722568662301
1785523705387078300,1,0.0006,-0.0,-0.0,0.0,0.2806722568662301
