t_wall_ns,armed,heading_rad,roll_rate,pitch_rate,yaw_rate,thrust
1785545351173701400,1,0.4250,0.5247258454669559,0.0005092620849609375,0.0,0.2778063046875882
1785545351194007600,1,0.4250,1.1531209116566292,0.0004839896864723414,0.0,0.27854585044113384
1785545351214493900,1,0.4250,1.2295585870742798,0.0004630088515114039,0.0,0.27803231174817106
1785545351233935600,1,0.4250,1.1938434839248657,0.00044441220234148204,0.0,0.27725749994760973
1785545351254037300,1,0.4250,1.041051983833313,0.0003976821608375758,0.0,0.2742356169407681
1785545351273757900,1,0.4250,0.9666945934295654,0.0003771781921386719,0.0,0.27293172910517227
1785545351293871700,1,0.4250,0.908053994178772,0.00036048886249773204,0.0,0.2719781702728439
1785545351313659700,1,0.4250,0.8465631008148193,0.00034189221332781017,0.0,0.27104773663946297
1785545351334465600,1,0.4250,0.7241295576095581,0.0003027915663551539,0.0,0.2694024844877515
1785545351354014900,1,0.4250,0.6783875226974487,0.00028800961445085704,0.0,0.2688573270036655
1785545351373747400,1,0.4250,0.6301429867744446,0.0002717971510719508,0.0,0.2683226708588905
1785545351394189700,1,0.4250,0.5806965231895447,0.00025415417621843517,0.0,0.2707118590618382
1785545351414260600,1,0.4250,0.5094321370124817,0.0002293586585437879,0.0,0.27544915130176334
1785545351433718500,1,0.4250,0.5094321370124817,0.0002293586585437879,0.0,0.28270921724360554
1785545351454393300,1,0.4250,0.4316226840019226,0.0002007484290516004,0.0,0.29235912142246684
1785545351473634200,1,0.4250,0.40050798654556274,0.00018882750009652227,0.0,0.3022910214225501
1785545351494274000,1,0.4250,0.37522730231285095,0.00017881391977425665,0.0,0.3123516714243831
1785545351513988800,1,0.4250,0.34742045402526855,0.00016784666513558477,0.0,0.3224526714242327
1785545351534029000,1,0.4250,0.291393905878067,0.00014591217041015625,0.0,0.3322197714245501
1785545351553683300,1,0.4250,0.27143821120262146,0.00013732908701058477,0.0,0.3422971214225779
1785545351573832400,1,0.4250,0.2506605088710785,0.00012874601816292852,0.0,0.35237497142441293
1785545351594484500,1,0.4250,0.2289990484714508,0.00011968611943302676,0.0,0.36229597142153375
1785545351613841100,1,0.4250,0.19759348034858704,0.00010585784184513614,0.0,0.37237692142150786
1785545351634575200,1,0.4250,0.19759348034858704,0.00010585784184513614,0.0,0.3823971714249435
1785545351653853000,1,0.4250,0.16446803510189056,9.107588994083926e-05,0.0,0.392384321423722
1785545351673838000,1,0.4250,0.15109936892986298,8.535385131835938e-05,0.0,0.4023785714219937
1785545351693928100,1,0.4250,0.14065733551979065,8.058547246037051e-05,0.0,0.4124189714224283
1785545351714662600,1,0.4250,0.1291743665933609,7.486342656193301e-05,0.0,0.42244707142379206
1785545351733924300,1,0.4250,0.1065443679690361,6.437300908146426e-05,0.0,0.43241972142493773
1785545351754295000,1,0.4250,0.09835463762283325,6.0081474657636136e-05,0.0,0.4423536714224408
1785545351773691000,1,0.4250,0.08990571647882462,5.578994387178682e-05,0.0,0.45230707142252663
1785545351794709600,1,0.4250,0.08139095455408096,0.5920502859618435,0.0,0.46240202142360226
1785545351814446600,1,0.4250,0.06942446529865265,1.180219346832569,0.0,0.47243177142297804
1785545351834151700,1,0.4250,0.06942446529865265,1.7552790855522555,0.0,0.48223787142194646
1785545351854100400,1,0.4250,0.056755322962999344,2.233341135355056,0.0,0.49225282142504306
1785545351874472000,1,0.4250,0.051957935094833374,2.2211809422110447,0.0,0.5024369714250294
1785545351893939800,1,0.4250,0.04810883104801178,2.0969686920975574,0.0,0.5124279214236391
1785545351914527500,1,0.4250,0.04408064857125282,1.945771735463036,0.0,0.5223766714246973
1785545351933975900,1,0.4250,0.03629208728671074,1.6448622460698017,0.0,0.5324464714234434
1785545351954465300,1,0.4250,0.033534348011016846,1.5363907928799518,0.0,0.5424363214245911
1785545351973877800,1,0.4250,0.030792614445090294,1.4291144724224933,0.0,0.5500174920606538
1785545351993933000,1,0.4250,0.027957025915384293,1.3151031847332844,0.0,0.555232881072988
1785545352014118800,1,0.4250,0.0238724946975708,1.1447779054974445,0.0,0.5580274744633938
1785545352033529000,1,0.4250,0.0238724946975708,1.1447779054974445,0.0,0.5584779455555946
1785545352054444800,1,0.4250,0.019586537033319473,0.9651252146099933,0.0,0.28419250255042816
1785545352073763000,1,0.4250,0.017901552841067314,0.31069589429377564,0.0,0.286266171768873
1785545352094471200,1,0.4250,0.016603656113147736,-0.33766907138397784,0.0,0.2879351341614252
1785545352113651600,1,0.4250,0.015213364735245705,-0.9760287102571296,0.0,0.2898537212530789
1785545352134540100,1,0.4250,0.012333088554441929,-1.5974591070147528,0.0,0.2908506676830055
1785545352153839100,1,0.4250,0.011261980049312115,-1.658298373222351,0.0,0.2895275810211469
1785545352174046600,1,0.4250,0.010063913650810719,-1.571153998374939,0.0,0.28684546628959495
1785545352193555200,1,0.4250,0.008851318620145321,-1.4420651197433472,0.0,0.28320663646879873
1785545352214362400,1,0.4250,0.007964171469211578,-1.3396210670471191,0.0,0.28058968086390784
1785545352233718900,1,0.4250,0.006431007757782936,-1.1669625043869019,0.0,0.2766920513923222
1785545352253835500,1,0.4250,0.005578846670687199,-1.0692185163497925,0.0,0.27475791848550374
1785545352274284200,1,0.4250,0.0049706194549798965,-0.9958047270774841,0.0,0.27342966647817074
1785545352293950800,1,0.4250,0.004509893245995045,-0.9373921751976013,0.0,0.2724472586754137
1785545352314056500,1,0.4250,0.0034858351573348045,-0.7976207137107849,0.0,0.2703573457227932
1785545352333967100,1,0.4250,0.003063694341108203,-0.7372140288352966,0.0,0.26956540243832905
1785545352354415100,1,0.4250,0.0027427386958152056,-0.6904229521751404,0.0,0.26899720568812
1785545352373627400,1,0.4250,0.002428072039037943,-0.6425995230674744,0.0,0.2684568231542162
1785545352394246300,1,0.4250,0.0018581714248284698,-0.5496082305908203,0.0,0.26752136957811357
1785545352414041100,1,0.4250,0.0016531596193090081,-0.5141334533691406,0.0,0.26720420255171057
1785545352433973400,1,0.4250,0.0014296467415988445,-0.47493311762809753,0.0,0.2668789834232358
1785545352454726900,1,0.4250,0.0012039638822898269,-0.4337901771068573,0.0,0.2665660003383827
1785545352473956100,1,0.4250,0.0010422489140182734,-0.4026951491832733,0.0,0.2663486191680299
1785545352494199600,1,0.4250,0.0009135474101640284,-0.37702223658561707,0.0,0.26618152482509533
1785545352513839600,1,0.4250,0.0007752698729746044,-0.34818601608276367,0.0,0.26600714937015807
1785545352534671400,1,0.4250,0.000509714474901557,-0.2900051772594452,0.0,0.26569800883098815
1785545352554338900,1,0.4250,0.00041790708201006055,-0.268736332654953,0.0,0.26559919369133367
1785545352574457600,1,0.4250,0.0003285416169092059,-0.24710510671138763,0.0,0.26550646706885556
1785545352593976900,1,0.4250,0.00024126889184117317,-0.22466610372066498,0.0,0.26541854554092026
1785545352614972900,1,0.4250,0.00017967457824852318,-0.2077331393957138,0.0,0.26535776355817087
1785545352634371700,1,0.4250,7.378045120276511e-05,-0.1765589565038681,0.0,0.265258361724218
1785545352653905300,1,0.4250,1.66017453011591e-05,-0.15848158299922943,0.0,0.2652081314214541
1785545352673608500,1,0.4250,-2.3438158677890897e-05,-0.1449885368347168,0.0,0.2651741811097424
1785545352694158100,1,0.4250,-5.113626320962794e-05,-0.13473844528198242,0.0,0.26515041265953404
1785545352713694800,1,0.4250,-0.00011078593524871394,-0.11063861101865768,0.0,0.26510140239753843
1785545352734223700,1,0.4250,-0.0001320921437582001,-0.10059928894042969,0.0,0.2650838302841039
1785545352753852200,1,0.4250,-0.00014700586325488985,-0.09266089648008347,0.0,0.26507111923891147
1785545352774051700,1,0.4250,-0.00016192058683373034,-0.08463477343320847,0.0,0.2650593302497662
1785545352794429100,1,0.4250,-0.00017257558647543192,-0.07622813433408737,0.0,0.2650481276244318
1785545352814618400,1,0.4250,-0.0001874863082775846,-0.06416939944028854,0.0,0.2650341037491548
1785545352834535100,1,0.4250,-0.0001874863082775846,-0.06416939944028854,0.0,0.2650341037491548
1785545352854194700,1,0.4250,-0.00019813940161839128,-0.05139445886015892,0.0,0.2650218758441365
1785545352874487600,1,0.4250,-0.00019813922699540854,-0.04651975259184837,0.0,0.2650179226838015
